100 4950
0 1 5
0 2 6
0 3 3
0 4 3
0 5 4
0 6 5
0 7 18
0 8 8
0 9 2
0 10 7
0 11 7
0 12 20
0 13 5
0 14 17
0 15 12
0 16 5
0 17 2
0 18 10
0 19 5
0 20 7
0 21 13
0 22 10
0 23 10
0 24 5
0 25 1
0 26 13
0 27 8
0 28 6
0 29 2
0 30 6
0 31 7
0 32 13
0 33 13
0 34 13
0 35 20
0 36 14
0 37 20
0 38 7
0 39 5
0 40 20
0 41 2
0 42 10
0 43 12
0 44 9
0 45 16
0 46 16
0 47 7
0 48 14
0 49 3
0 50 14
0 51 10
0 52 7
0 53 7
0 54 11
0 55 16
0 56 11
0 57 2
0 58 11
0 59 11
0 60 14
0 61 2
0 62 19
0 63 15
0 64 20
0 65 1
0 66 10
0 67 1
0 68 11
0 69 3
0 70 9
0 71 14
0 72 8
0 73 16
0 74 18
0 75 4
0 76 13
0 77 4
0 78 3
0 79 9
0 80 1
0 81 16
0 82 19
0 83 6
0 84 5
0 85 16
0 86 18
0 87 6
0 88 11
0 89 7
0 90 18
0 91 10
0 92 4
0 93 1
0 94 18
0 95 7
0 96 2
0 97 11
0 98 20
0 99 20
1 2 1
1 3 7
1 4 16
1 5 6
1 6 18
1 7 18
1 8 20
1 9 12
1 10 20
1 11 17
1 12 7
1 13 8
1 14 8
1 15 14
1 16 14
1 17 6
1 18 9
1 19 19
1 20 11
1 21 18
1 22 18
1 23 10
1 24 17
1 25 18
1 26 4
1 27 19
1 28 4
1 29 7
1 30 1
1 31 1
1 32 11
1 33 5
1 34 9
1 35 9
1 36 19
1 37 13
1 38 12
1 39 12
1 40 8
1 41 2
1 42 14
1 43 9
1 44 10
1 45 16
1 46 15
1 47 8
1 48 3
1 49 8
1 50 15
1 51 1
1 52 7
1 53 9
1 54 14
1 55 7
1 56 10
1 57 7
1 58 14
1 59 14
1 60 18
1 61 1
1 62 4
1 63 4
1 64 19
1 65 17
1 66 12
1 67 3
1 68 16
1 69 6
1 70 14
1 71 19
1 72 17
1 73 19
1 74 5
1 75 3
1 76 16
1 77 3
1 78 15
1 79 20
1 80 1
1 81 17
1 82 13
1 83 11
1 84 5
1 85 4
1 86 1
1 87 4
1 88 9
1 89 19
1 90 7
1 91 6
1 92 2
1 93 5
1 94 3
1 95 7
1 96 11
1 97 2
1 98 18
1 99 13
2 3 5
2 4 17
2 5 15
2 6 19
2 7 3
2 8 4
2 9 1
2 10 19
2 11 10
2 12 13
2 13 14
2 14 15
2 15 13
2 16 16
2 17 3
2 18 4
2 19 4
2 20 17
2 21 14
2 22 6
2 23 7
2 24 1
2 25 8
2 26 18
2 27 1
2 28 13
2 29 16
2 30 7
2 31 13
2 32 14
2 33 17
2 34 14
2 35 1
2 36 6
2 37 8
2 38 6
2 39 10
2 40 12
2 41 7
2 42 6
2 43 17
2 44 15
2 45 20
2 46 17
2 47 11
2 48 13
2 49 8
2 50 9
2 51 8
2 52 16
2 53 14
2 54 14
2 55 20
2 56 8
2 57 14
2 58 18
2 59 6
2 60 18
2 61 4
2 62 18
2 63 13
2 64 8
2 65 4
2 66 4
2 67 11
2 68 7
2 69 14
2 70 3
2 71 12
2 72 4
2 73 12
2 74 20
2 75 5
2 76 8
2 77 17
2 78 14
2 79 5
2 80 20
2 81 9
2 82 14
2 83 9
2 84 19
2 85 8
2 86 13
2 87 12
2 88 14
2 89 15
2 90 2
2 91 5
2 92 20
2 93 9
2 94 15
2 95 19
2 96 3
2 97 2
2 98 18
2 99 9
3 4 12
3 5 3
3 6 15
3 7 13
3 8 18
3 9 13
3 10 15
3 11 9
